ParticleID,X,Y,Z
343,6.15993e+08,2.12097e+08,4.70513e+08
344,5.79373e+08,-1.00007e+08,-1.60932e+08
345,3.7608e+08,2.68336e+08,-2.87867e+07
346,5.13615e+08,-7.44286e+07,-1.0766e+08
347,2.49042e+08,6.17799e+08,-6.8995e+08
348,2.93397e+08,6.89457e+07,-9.5883e+08
349,2.25369e+08,2.42097e+08,-1.35514e+09
350,7.43249e+08,-1.9655e+08,1.26249e+09
351,2.48752e+08,2.74434e+08,8.40187e+08
352,3.84671e+08,-1.11309e+08,5.66326e+08
353,5.05513e+08,-7.42236e+07,4.09915e+08
354,3.9188e+08,6.21044e+07,1.75262e+08
355,2.41057e+08,-3.77258e+07,-1.81869e+08
356,2.68354e+08,2.19489e+08,-2.03655e+08
357,4.95006e+08,3.68279e+08,-8.71385e+08
358,1.89843e+08,-1.40761e+08,-9.7994e+08
359,3.26027e+08,5.91941e+08,-1.66012e+09
360,3.61856e+08,-4.09845e+08,1.44458e+09
361,1.20803e+09,-3.75871e+07,1.40568e+09
362,2.91498e+08,-3.62235e+08,5.36076e+08
363,3.10144e+08,-3.09371e+08,3.38095e+08
364,5.22945e+08,4.41655e+07,4.07271e+08
365,-1.29796e+08,-5.17406e+08,-2.90101e+07
366,3.62445e+08,-4.9706e+08,-4.08839e+08
367,3.40879e+08,-4.89125e+08,-6.16236e+08
368,1.74602e+08,-3.67335e+08,-9.3199e+08
369,876324,-1.08361e+09,-1.27285e+09
370,4.12558e+08,-4.44375e+08,1.26426e+09
371,3.37061e+08,-5.40722e+08,1.08588e+09
372,3.54368e+08,-6.69392e+08,7.11008e+08
373,6.32289e+08,-6.67324e+08,3.69617e+08
374,1.91901e+08,-7.15966e+08,1.96731e+08
375,1.60841e+08,-7.75558e+08,-1.52606e+08
376,4.34822e+08,-8.48679e+08,-3.16295e+08
377,1.72144e+08,-6.74059e+08,-6.63161e+08
378,3.49e+08,-5.66888e+08,-9.05818e+08
379,1.99245e+08,-4.73245e+08,-1.27842e+09
380,2.88379e+08,-7.66775e+08,1.02591e+09
381,2.54993e+08,-9.32645e+08,7.69662e+08
382,2.38097e+08,-9.28159e+08,6.2071e+08
383,3.01619e+08,-8.431e+08,1.8556e+08
384,2.48473e+07,-4.59682e+08,3.69294e+08
385,6.08722e+08,-8.18968e+08,-1.3199e+08
386,5.75369e+08,-9.92404e+08,-3.70468e+08
387,6.29855e+08,-9.64511e+08,-7.43724e+08
388,1.88606e+08,-6.85889e+08,-9.96183e+08
389,6.56012e+07,-6.57782e+08,-1.21153e+09
390,1.30206e+08,-1.05809e+09,9.76419e+08
391,2.15411e+08,-1.13522e+09,6.16644e+08
392,1.9997e+08,-1.25965e+09,5.64186e+08
393,2.55293e+08,-1.53749e+09,6.08911e+08
394,2.29723e+08,-1.02858e+09,3.89606e+07
395,4.30464e+08,-1.41673e+09,2.5702e+08
396,5.02571e+08,-1.40774e+09,-4.33055e+08
397,9.27438e+07,-1.30886e+09,-5.54338e+08
398,2.225e+08,-1.15642e+09,-7.45082e+08
399,2.23972e+08,-8.66167e+08,-1.0857e+09
400,-4.80311e+07,1.0105e+09,9.22139e+08
401,1.54065e+08,1.23103e+09,8.13637e+08
402,3.42232e+08,1.27004e+09,5.32964e+08
403,3.39658e+08,1.5251e+09,4.63683e+08
404,-1.95586e+08,1.55453e+09,2.28239e+08
405,6.09115e+07,1.50589e+09,-1.00236e+08
406,3.31059e+08,1.95606e+09,-1.20019e+08
407,2.09425e+08,1.30475e+09,-6.94692e+08
408,1.46702e+08,1.35313e+09,-7.84124e+08
409,1.31508e+08,9.8471e+08,-8.92382e+08
410,1.25064e+08,6.27578e+08,1.29256e+09
411,2.40864e+08,9.31136e+08,1.00797e+09
412,1.48769e+08,1.17048e+09,5.52795e+08
413,1.50013e+08,8.3475e+08,5.26968e+08
414,-1.17307e+08,1.04827e+09,2.11147e+08
415,2.20878e+08,9.87465e+08,-1.22775e+08
416,4.9878e+06,1.19519e+09,-4.30276e+08
417,3.42964e+08,1.06435e+09,-4.72055e+08
418,1.8114e+08,1.05837e+09,-8.85621e+08
419,1.72232e+08,6.7653e+08,-1.28607e+09
420,9.49256e+07,5.7259e+08,1.31593e+09
421,2.33517e+08,5.99096e+08,9.70796e+08
422,4.42667e+07,9.09288e+08,8.45881e+08
423,4.4489e+08,5.88992e+08,2.6769e+08
424,2.4457e+08,6.81014e+08,9.84769e+07
425,1.61419e+08,6.50666e+08,-1.55151e+07
426,3.09423e+08,7.39464e+08,-3.01361e+08
427,3.82906e+08,7.90339e+08,-5.55124e+08
428,2.81932e+08,7.70875e+08,-1.19699e+09
429,1.36487e+08,4.59768e+08,-1.38347e+09
430,8.74928e+07,2.60602e+08,1.44066e+09
431,2.10378e+08,3.82724e+08,9.26658e+08
432,2.99112e+08,2.14615e+08,6.52388e+08
433,1.77832e+08,4.18565e+08,2.94637e+08
434,1.64081e+08,3.20285e+08,-2.51099e+07
435,2.18497e+08,4.99665e+08,-1.2714e+08
436,2.78306e+08,4.22272e+08,-2.50204e+08
437,3.89273e+08,2.59275e+08,-6.68998e+08
438,2.72923e+08,5.6062e+08,-1.11207e+09
439,1.29773e+08,3.26093e+08,-1.57801e+09
440,9.30175e+07,-5.18818e+07,1.44288e+09
441,1.46949e+08,9.10227e+07,1.05417e+09
442,6.42339e+08,4.09922e+08,8.08275e+08
443,1.06402e+08,2.62112e+07,4.7729e+08
444,3.13024e+08,2.3616e+08,-3.38164e+07
445,1.62239e+08,2.58264e+08,-1.05183e+08
446,8.08192e+07,1.75406e+08,-3.36009e+08
447,1.1858e+08,1.12548e+08,-7.04904e+08
448,1.73521e+08,1.3795e+08,-1.16019e+09
449,1.13744e+08,1.28317e+08,-1.38587e+09
450,-1.0871e+08,2.56005e+07,1.86929e+09
451,4.52762e+07,9.94146e+07,7.47105e+08
452,1.76689e+08,-1.69045e+08,6.327e+08
453,1.42945e+08,-2.38756e+08,2.9486e+08
